TopoDroid versions.
Release date, apk size and md5

Version		Date		Size		MD5					Notes
X 6.1.42-33	2022-09-07	5454123		a5ceb74492022cf6f96c06a993d338c5
X 6.1.41-33	2022-09-07	5454123		d9e03dbd4ca52380600179d52436f893
X 6.1.40-33	2022-09-04	5450027		029d13e9f4cc9eb9681f86924ce6e56f
X 6.1.39-33	2022-08-26	5396552		1207eed2e4814141d7442fb9117876d3
X 6.1.38-33	2022-08-25	5380020		67ff076ed7653da2b8be07283a6dff07
X 6.1.37-33	2022-08-25	5380020		710a04aa44fe230fe147bd2dc99f423d
X 6.1.36-33	2022-08-24	5298100		0269dd83c20ab2f98ca678853abdf77d
X 6.1.35-33	2022-08-23	5298100		a49f2d9c0fbcf88c83b25c0d783b983a
X 6.1.34-33	2022-08-22	5298100		d3bb151551aee7d03e291fe29004fe46
X 6.1.33-33	2022-08-22	5298100		f4c78322331404cfd3b6b2d46d890eae
X 6.1.32-33	2022-08-03	5298100		f2be4bfbcac63c9542b22f0f529a5812
X 6.1.31-33	2022-07-29	5298019		12c91a3de56afb34aacc75877619e2da
X 6.1.31-32	2022-07-29	5298019		11d8a8e02137ccc91fa06dcc424aec28
X 6.1.30-31	2022-07-28	5298019		ae5326b8851b3b497c2f354c73807e96
X 6.1.29-31	2022-07-22	5302502		793accaf4ab416fe440ad867ac7d3cb2
X 6.1.28-31	2022-07-20	5802214		ccf03010c747c61bef1842bdb936ea72
X 6.1.27-31	2022-07-15	5802214		058c0290c79424060e8a88a285945b7d
X 6.1.26-31	2022-07-14	5802214		cab2425f7f3e08323edb11c59b05c49a
X 6.1.25-31	2022-07-12	5802214		5973eb8f94f4153f9a3bd64cd0a1f9b6
X 6.1.24-31	2022-07-08	5798118		12cd90ae4c47cbd6d921fcf1d7b7311d
X 6.1.23-31	2022-07-07	5794022		29a3378a75f6e2433e86c4d847c9a87a
X 6.1.22-31	2022-07-05	5794022		99910276b360a75faf0267d39ac5954f
X 6.1.21-31	2022-07-01	5757089		c69269a2cecdde28ade5d085e61264fb
X 6.1.20-31	2022-06-29	5757089		bb765b24c532a07985f0c9caadb41151
X 6.1.19-31	2022-06-28	5757015		bd44b7b7fb35eff14abb55f218e2af15
X 6.1.18-31	2022-06-28	5757015		84a201a98ec37c18f5ef412156c64b67
X 6.1.17-31	2022-06-27	5757015		33d84df74775bfdd51126d7a862872e1
X 6.1.16-31	2022-06-24	5748655		aa39834916c648c11dded837f00bd17b
X 6.1.15-31	2022-06-23	5748655		410220bfb5ea4a295cff76b8854b86cf
X 6.1.13-31	2022-06-20	5748794		ff875ce14bafa2be53062d6f12ee275e
X 6.1.12-31	2022-06-17	5748794		283696d93c82984a8235befae4a37dce	dropped untranslated languages
X 6.1.3-31	2022-05-19	5227494		741f981aeefaaa98945bfafeb85972b2	package name com.topodrooid.TDX
Alpha 6.0.92-30	2022-05-07	6207136		9f928849fa724af4692cafacff6aee5f
Alpha 6.0.82-29	2022-03-22	6182492		64a45dce140238ee4415276e77f1c0fc
Alpha 6.0.69-29 2022-02-23	6174225		404f6bdc756465548477b0fd4daafceb
